application	mode	states	score	time
co.uk.ringgo.android	mankey	6	-1	383.94964480400085
co.uk.ringgo.android	ga	6	-1	251.8685691356659
com.womboai.wombo	mankey	6	-1	295.33157300949097
com.womboai.wombo	ga	7	-1	83.54500222206116
com.thetrainline	mankey	11	-1	290.8617510795593
com.thetrainline	ga	6	-1	294.4863772392273
com.spotify.music	mankey	5	-1	306.752779006958
com.spotify.music	ga	6	-1	190.69139003753662
com.ubercab	mankey	5	-1	295.18718910217285
com.ubercab	ga	6	-1	120.22311115264893
com.adobe.reader	mankey	10	-1	338.4786949157715
com.adobe.reader	ga	9	-1	189.2787380218506
com.wallet.crypto.trustapp	mankey	5	-1	283.55723786354065
com.wallet.crypto.trustapp	ga	3	-1	204.32989478111267
com.amazon.dee.app	mankey	4	-1	388.98903799057007
com.amazon.dee.app	ga	6	-1	135.04273200035095
com.netflix.mediaclient	mankey	7	-1	320.74060225486755
com.netflix.mediaclient	ga	7	-1	158.51369404792786
com.contextlogic.wish	mankey	2	-1	466.89482498168945
com.contextlogic.wish	ga	2	-1	303.2155990600586
com.azure.authenticator	mankey	3	-1	251.9741849899292
com.azure.authenticator	ga	4	-1	110.07698607444763
com.shpock.android	mankey	4	-1	400.31760478019714
com.shpock.android	ga	15	-1	613.326080083847
org.thoughtcrime.securesms	mankey	8	-1	298.96658992767334
org.thoughtcrime.securesms	ga	6	-1	121.8269476890564
com.airbnb.android	mankey	4	-1	354.5009982585907
com.airbnb.android	ga	7	-1	118.31533288955688
com.lemon.lvoverseas	mankey	10	-1	294.89631175994873
com.lemon.lvoverseas	ga	11	-1	254.23447394371033
com.fortunescope	mankey	3	-1	281.4663529396057
com.fortunescope	ga	3	-1	79.48240208625793
com.hp.printercontrol	mankey	18	-1	292.66537404060364
com.hp.printercontrol	ga	13	-1	135.62102007865906
com.getir	mankey	3	-1	1952.7986087799072
com.getir	ga	11	-1	323.2561340332031
com.alibaba.intl.android.apps.poseidon	mankey	4	-1	502.67756485939026
com.alibaba.intl.android.apps.poseidon	ga	14	-1	323.9312551021576
com.facebook.katana	mankey	9	-1	321.65972208976746
com.facebook.katana	ga	8	-1	90.83971405029297
com.wholee	mankey	3	-1	303.725389957428
com.stonegate.mypub.iorder	mankey	2	-1	285.4182300567627
com.stonegate.mypub.iorder	ga	2	-1	49.5577449798584
com.cleanteam.onesecurity	mankey	4	-1	293.17310881614685
com.cleanteam.onesecurity	ga	3	-1	74.02393889427185
com.teacapps.barcodescanner	mankey	12	-1	230.82584404945374
com.teacapps.barcodescanner	ga	15	-1	295.80937600135803
com.vid.vidman	mankey	4	-1	273.7279281616211
com.vid.vidman	ga	5	-1	75.1712167263031
com.google.android.apps.chromecast.app	mankey	7	-1	398.8604679107666
com.google.android.apps.chromecast.app	ga	5	-1	544.7358200550079
